Atlas Specialty Clinic | Warm
Abinet Specialty Clinic | Cold
Ananika Medical Center | Cold
Hiwotamba Health Center | Warm
Betezata | Cold
Selam Medium Clinic | Cold
Kadisco Hospital | Cold
Korea Hospital | Warm
British Pediatrics Center | Cold
Ethio Medical Center | Cold
Redat Healthcare | Warm
Mefthe Medium Clinic | Cold
MHT Specialty Clinic | Warm
Amenab Medium Clinic | Warm
Saris Specialty Clinic | Cold
Trunesh Beijing General Hospital | Cold
Ietel MCH | Warm
Jesper Medical Center | Cold
Getenet Medium Clinic | Hot
Manisia Clinic | Warm
Spot Internal Medicine and Special Clinic | Hot
Addis Ababa Poly INT.M Specialty Clinic | Cold
Redat Health Care | Warm
Chicho Pediatrics Specialty Clinic | Warm
Cris Medical Clinic | Cold
Doctor Kalid and His Family Pediatrics Specialty Clinic | Cold
Ethiomaleda Internal Medicine and Specialty Clinic | Warm
Betel Teaching General Hospital | Cold
Dr Hadra and Habas Hadra | Cold
Al-Alfia Medicine and MCH | Warm
Royal Care Multi Specialty Clinic | Cold
Oasis General Hospital | Cold
Dr Ali Medium Clinic | Cold
Dr Mohammed Medium Clinic | Cold
Al Man Internal Medicine | Cold
Harar Specialized Medical Center | Warm
Petroyal Medium Clinic | Cold
Zema Medium Clinic | Warm
Tropical Medium Clinic | Cold
Atnasiya Internal Medicine | Cold
Washington Healthcare | Hot
Ethio China Friendship Specialty Clinic | Warm
Apex Internal Medicine | Cold
St. Uriel | Warm
Tesfa Medium Clinic | Warm
Dr Alia Diagnostic Center | Warm
Zeorite Medium Clinic | Cold
Gerji Government Clinic | Hot
Elouzeir Cardiac Center | Cold
