Facility Name,Address,Contact Person,Position,Phone Number,Hormone Analyzer,Blood Collection Tubes,Sales Rep
Al-Alfia Medicine and MCH,Bethel,Amin,Decision Maker,0965473095,Mindray,"EDTA Purple, Pink, Blue",Tizita
Royal Care Multi Speciality Clinic,Bethel,Dr Mubarek,Medical Director,0913219515,Maglumi,"EDTA Purple, Pink, Blue",Tizita
Oasis General Hospital,Bethel,Ataklt,Lab Head,0913324051,"Mindray, Finecare","EDTA Purple, Pink, Blue",Tizita
Dr Mohammed Medium Clinic,Alem Bank,Dr Mohammed,Owner,0911048467,Not Specified,"EDTA Purple, Pink, Blue",Tizita
Al Man Internal Medicine,Alem Bank,Dr Mohammed,Owner,0948075066,Finecare,"EDTA Purple, Pink, Blue",Tizita
Harar Specialized Medical Center,Sarbet,Not Specified,,0936291883,Not Specified,"EDTA Purple, Pink, Blue",Tizita
Atnasiya Internal Medicine,Bole Rwanda,Lab Technician,,0939765205,"Mindray, Maglumi, Finecare","EDTA Purple, Pink, Blue",Tizita
Washington Healthcare,Bole Rwanda,Mr Gizachew,Management,0946855955,Maglumi,"EDTA Purple, Pink, Blue",Tizita
Apex Internal Medicine,Bole Rwanda,Dr Moaz,,0988009944,"Finecare, Mindray","EDTA Purple, Pink, Blue",Tizita
Tesfa Medium Clinic,Peissa,Samuel,Owner,0911739446,Mindray,"EDTA Purple, Pink, Blue",Tizita
Dr Alia Diagnostic Center,Lideta,Fikir,Lab Head,0925306593,Mindray,"EDTA Purple, Pink, Blue",Tizita
Gerji Government Clinic,Gerji,Temesgen,Lab Head,0977778527,Finecare,"EDTA Purple, Pink, Blue",Tizita
Elouzeir Cardiac Center,Bole Matemiya,Mihiretab,Lab Technician,0915274333,Finecare,"EDTA Purple, Pink, Blue",Tizita
Hiwot Amba Government Health Center,Mexico,Birhanu,Lab Technician,0965327308,Not Specified,"EDTA Purple, Pink, Blue",Tizita
Ithiel MCH Hospital,Kality,Gezu,,0926372056,Finecare,"EDTA Purple, Pink, Blue",Tizita
Kadisco General Hospital,Gerji,Bereket,Pharmacy Head,0911919521,Mindray,"EDTA Purple, Pink, Blue",Tizita
Redat Health Care,Bole,Mekeyas,Lab Head,0983557655,Maglumi,"EDTA Purple, Pink, Blue",Tizita
Getne Medium Clinic,Goro,Teketel,Manager,0925333693,Finecare,"EDTA Purple, Pink, Blue",Tizita
British Pediatric Medical Speciality Clinic,Gerji,Not Specified,,Not Specified,"Mindray, Finecare","EDTA Purple, Pink, Blue",Tizita
Atlas Medical Center,Lideta,Bereket,Lab Head,0923232231,Finecare,"EDTA Purple, Pink, Blue",Tizita
Manasiya Clinic,Not Specified,Dawit,Laboratory Head,0913589703,"Finecare, Mindray","EDTA Purple, Pink, Blue",Tizita
Bethezata Hospital,Stadium,Demelshi,Lab Head,0912675261,"Mindray, Finecare","EDTA Purple, Pink, Blue",Tizita
Nova Specialty Clinic,Not Specified,Firtuna,Lab Technician,0944774185,Finecare,"EDTA Purple, Pink, Blue",Tizita
Tenegash Worku Clinic,Bethel,Tewubdar,Lab Technician,0988038771,Not Specified,"EDTA Purple, Pink, Blue",Tizita
Bethel Teaching General Hospital,Bethel,Not Specified,,Not Specified,"Zybio, Mindray, Macula, Finecare","EDTA Purple, Pink, Blue",Tizita
Dr Kalid and His Family Pediatrics Specialty Clinic,Bethel,Not Specified,,Not Specified,"Zybio, Mindray","EDTA Purple, Pink, Blue",Tizita
