Marhiwot MCH Center | Hot
Vision Specialty Clinic | Hot
Chechela Internal Medicine Specialty Clinic | Hot
Aynalem Primary Hospital | Hot
Grace MCH & Surgical Center | Hot
Bama MCH Center | Warm
Semah MCH Center | Warm
Sintayehu Medium Clinic | Warm
Migbaresenay General Hospital | Warm
Doctors Alliance Hospital | Warm
Elite ENT Center | Warm
Medlot Medium Clinic | Warm
Lancet Beherawi Internal Medicine & Surgical Center | Warm
International Clinical Laboratory | Warm
Wuddasse Diagnostic Center | Warm
Dr. Amero Internal Medicine Specialty Clinic | Warm
St. Gabriel General Hospital | Cold
Afran General Hospital | Cold
Betseda American Medical Plaza | Cold
Healventure Medical Center | Cold
Toz Specialty Clinic | Cold
Lucy Multi Specialty Center | Cold
Tezena General Hospital | Cold
Alpha Cardiac & Medical Center | Cold
Dr. Teshome Pediatric Clinic | Cold
Zak Internal Medicine Specialty Clinic | Cold
Adera Internal Medicine Specialty Clinic | Cold
Mekrez Hospital | Cold
Ayertena Primary Hospital | Cold
Grace MCH Center | Cold
