Lotus MCH | Hot
Ethiocare Medical Center | Warm
Rubira Medical Center | Cold
Mary Clinic | Warm
Kidist Selamihret Clinic | Cold
Happy Pediatric Clinic | Warm
Maya Pediatric Clinic | Warm
Agar Clinic | Warm
Capital Special Pediatric Clinic | Warm
Koket Surgical Center | Cold
Cheza Medium Clinic | Cold
Lancet Internal Medical Center | Cold
Novamed Clinic | Hot
Mestawet MCH | Warm
Care MCH | Warm
Ajora MCH | Hot
Dr. Saba Clinic | Cold
Hema Diagnostic Center | Cold
Fikreselam General Hospital | Warm
Dr. Yared Pediatric Clinic | Warm
Ayat Specialized Clinic | Warm
Gesund Cardiac Center | Cold
Yadon Clinic | Hot
Yabgar Clinic | Cold
Hewan Gynecology Specialized Clinic | Hot
AG Kovamed Clinic | Warm
International Laboratories | Warm
Yerer General Hospital | Hot
St. Mary Medium Clinic | Hot
EBM Specialty Clinic | Warm
Alliance Clinic | Cold
Enat Clinic | Cold
Ortino ENT Center | Cold
Care Plus Addis Clinic | Cold
Zerihun Memorial Clinic | Cold
Worda 14 Hidasse Health Center | Warm
Tersis Clinics | Hot
Tihut Clinic | Cold
GFB Specialized Clinic | Hot
Eldana Clinic | Cold
Betsegah MCH | Hot
Santa Veda Clinic | Warm
Heal U Clinic | Warm
Dr. Asaye Clinic | Cold
Agar Specialized Clinic | Hot
Med City Specialized Clinic | Cold
Abebech Gobena MCH | Hot
